,run_date,case_number,merchant_customer_id,account_name,astro_mkp,type_of_request,status,create_date,listing_complete_date,owner,integration_start_date,status_notes,handoff_date,merchant_rank,case_rank,encrypt_id,Key,SPOC
208,2022-12-30,1109417,101144683.0,SMDV,DE,Technical Onboarding Request - New Seller,Completed,2021-08-10,2022-03-15,FARAH BHAGAT,2021-08-11,DSR-Enhancement,2021-08-10,1,1,A1OWPV6NS18H4O,A1OWPV6NS18H4OFARAH BHAGAT,
209,2022-12-30,1306634,67831773422.0,Elegance Lighting Solutions,AU,Technical Onboarding Request - New Seller,Completed,2022-03-30,2022-12-26,PRAKASH JHA,2022-06-07,DSR,2022-04-11,1,1,A183OR2EH6UDXA,A183OR2EH6UDXAPRAKASH JHA,
210,2022-12-30,1315874,294623344112.0,OnShopModa,ES,Technical Onboarding Request - New Seller,Completed,2022-05-03,2022-07-28,INDRA TATIKONDA,2022-07-22,DSR,2022-05-06,1,1,A2XC6J4VOH21MW,A2XC6J4VOH21MWINDRA TATIKONDA,INDRA TATIKONDA
211,2022-12-30,1273405,14316137025.0,Happy Home Srl,IT,Technical Onboarding Request - New Seller,Completed,2022-02-16,2022-07-21,DILIP CHAVALI,2022-04-29,DSR SP_API_INTEGRATION,2022-04-29,1,1,A389SZCV75GIE0,A389SZCV75GIE0DILIP CHAVALI,
212,2022-12-30,1126751,174564428012.0,the carpet,DE,Technical Onboarding Request - New Seller,Completed,2021-11-09,2022-06-24,NIVEDITHA PARVATHA,2021-11-22,DSR - SP-API Integration,2021-11-12,1,1,A3FE2GFZ04LWX8,A3FE2GFZ04LWX8NIVEDITHA PARVATHA,
213,2022-12-30,1355090,30884409002.0,StarShipIT,US,Technical Onboarding Request - New Seller,Completed,2022-09-14,2022-08-26,YASHWANT KOMATI,2022-07-30,DSR_INTEGRATOR_AES,2022-07-15,1,1,A1BDMSXHCE1XTA,A1BDMSXHCE1XTAYASHWANT KOMATI,
217,2022-12-30,1347768,11689471225.0,Atelier98,IT,Technical Onboarding Request - New Seller,Completed,2022-08-19,2022-11-03,PREMALATHA MADDIRALA,2022-08-15,3PD_INTEGRATOR,2022-08-15,1,1,AMSKFWZA2YPNB,AMSKFWZA2YPNBPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
218,2022-12-30,1342290,18952732812.0,schuhede,DE,Technical Onboarding Request - New Seller,Completed,2022-08-02,2022-08-02,FARAH BHAGAT,2022-07-20,3PD_INTEGRATION,2022-07-20,1,1,A1YZODEMCTG2VZ,A1YZODEMCTG2VZFARAH BHAGAT,FARAH BHAGAT
221,2022-12-30,1075594,153297028312.0,Dream Demostore,UK,Technical Onboarding Request - New Seller,Completed,2021-03-10,2022-09-12,FARAH BHAGAT,2021-04-27,DSR_INTEGRATOR_SE,2021-03-19,1,1,A1QT3I18HOQ3KA,A1QT3I18HOQ3KAFARAH BHAGAT,FARAH BHAGAT
222,2022-12-30,1333961,480071648302.0,UKRPOSHTA,UK,Technical Onboarding Request - New Seller,Completed,2022-07-01,2022-11-04,FARAH BHAGAT,2022-08-08,DSR,2022-07-01,1,1,A238R9CLIBCBFV,A238R9CLIBCBFVFARAH BHAGAT,FARAH BHAGAT
223,2022-12-30,1339055,452889472702.0,Tech Dynamic Pte Ltd,SG,Technical Onboarding Request - New Seller,Completed,2022-07-21,2022-11-24,PRAKASH JHA,2022-07-25,DSR-SG,2022-07-21,1,1,A1WP3AB985ME0F,A1WP3AB985ME0FPRAKASH JHA,
224,2022-12-30,1310952,47653593712.0,EXPANDO global,UK,Technical Onboarding Request - New Seller,Completed,2022-04-14,2022-07-01,PREMALATHA MADDIRALA,2022-04-11,3PD_INTEGRATOR,2022-04-11,1,1,A3SX4EZ697UU4V,A3SX4EZ697UU4VPREMALATHA MADDIRALA,
225,2022-12-30,1342736,130883771412.0,Samurai Seller EU,UK,Technical Onboarding Request - New Seller,Completed,2022-08-02,2022-10-06,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-04,3PD_INTEGRATOR CID : A3W59EOJ6IYJ0W,2022-07-12,1,1,ARNXZWL8T9YW8,ARNXZWL8T9YW8LAKSHMI PRATYUSHA VELAMAKANNI,
226,2022-12-30,1343073,166253557512.0,GGG & partners,IT,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-12-13,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-29,3PD_INTEGRATOR,2022-07-29,1,1,A2MKFAR3T066TV,A2MKFAR3T066TVLAKSHMI PRATYUSHA VELAMAKANNI,LAKSHMI PRATYUSHA VELAMAKANNI
227,2022-12-30,1140029,57732209412.0,Morrisons,UK,Technical Onboarding Request - Reintegration,Completed,2022-01-13,2022-06-21,NIVEDITHA PARVATHA,2022-02-03,F3_UK_MCID-A2JY937J4M2YC9,2022-01-13,1,1,ALZ8JD7G4V266,ALZ8JD7G4V266NIVEDITHA PARVATHA,NIVEDITHA PARVATHA
228,2022-12-30,1335868,2016272841.0,Maropost Commerce Cloud US,US,Technical Onboarding Request - New Seller,Completed,2022-07-08,2022-10-28,RAJARSHI CHATTERJEE,2022-05-25,DSR_INTEGRATOR,2022-05-19,1,1,AQ0RK7V866XEV,AQ0RK7V866XEVRAJARSHI CHATTERJEE,
229,2022-12-30,1121866,94584022512.0,Desertcart AE,AE,Technical Onboarding Request - New Seller,Completed,2021-10-14,2022-03-31,YASHWANT KOMATI,2021-10-20,DSR,2021-10-18,1,1,A1MDZGJMJFIZAC,A1MDZGJMJFIZACYASHWANT KOMATI,YASHWANT KOMATI
230,2022-12-30,1135642,266231763912.0,Holiy,EG,Technical Onboarding Request - New Seller,Completed,2021-12-20,2022-05-05,PRAKASH JHA,2021-12-21,DSR - EG,2021-12-21,1,1,ACRJ3U877ESTA,ACRJ3U877ESTAPRAKASH JHA,
231,2022-12-30,1388083,6221240112.0,MOSH E-COM Services Pvt Ltd,IN,Technical Onboarding Request - New Seller,Completed,2022-12-29,2022-11-09,PRAKASH JHA,,,2022-09-23,1,1,A18FN31P1MJ6DC,A18FN31P1MJ6DCPRAKASH JHA,PRAKASH JHA
232,2022-12-30,1302407,128464282.0,DreamRobot GmbH,DE,Technical Onboarding Request - New Seller,Completed,2022-03-16,2022-07-21,DILIP CHAVALI,2022-03-16,3PD_INTEGRATOR,2022-03-16,1,1,A1183872A6JCJF,A1183872A6JCJFDILIP CHAVALI,DILIP CHAVALI
233,2022-12-30,1342713,79298551012.0,Iziflux,UK,Technical Onboarding Request - New Seller,Completed,2022-08-02,2022-09-30,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-02,3PD_INTEGRATOR,2022-07-12,1,1,AT5UMSY5LK7VU,AT5UMSY5LK7VULAKSHMI PRATYUSHA VELAMAKANNI,
234,2022-12-30,1128610,257000815612.0,PELLONI SRL,IT,Technical Onboarding Request - New Seller,Completed,2021-11-17,2022-05-06,DILIP CHAVALI,2021-11-29,DSR SP_API_INTEGRATION,2021-11-24,1,1,AKRTN0LTSF0AR,AKRTN0LTSF0ARDILIP CHAVALI,
235,2022-12-30,1312008,187921749412.0,Benza nl,NL,Technical Onboarding Request - New Seller,Completed,2022-04-19,2022-07-22,PREMALATHA MADDIRALA,2022-05-10,APPSTORE PUSH,2022-04-21,1,1,AQDV67IWXENF4,AQDV67IWXENF4PREMALATHA MADDIRALA,
236,2022-12-30,1344048,23082334815.0,Nurtured By Nature Foods,US,Technical Onboarding Request - Reintegration,Completed,2022-08-08,2022-10-10,DILIP CHAVALI,2022-07-01,3PD_integrator - AMPS- CID:A1QYVY4PWJFVAP,2022-07-01,1,1,A1QYVY4PWJFVAP,A1QYVY4PWJFVAPDILIP CHAVALI,
237,2022-12-30,1345215,62876159312.0,Becken & Tech,ES,Technical Onboarding Request - New Seller,Completed,2022-08-11,2022-12-08,PREMALATHA MADDIRALA,2022-08-22,DSR,2022-08-12,1,1,A2IYI9JH1MK7Z0,A2IYI9JH1MK7Z0PREMALATHA MADDIRALA,
238,2022-12-30,1333954,318241316412.0,ShopforToys,NL,Technical Onboarding Request - New Seller,Completed,2022-07-01,2022-08-16,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-04,DSR,2022-07-05,1,1,A1R5U6BGCYW83Q,A1R5U6BGCYW83QLAKSHMI PRATYUSHA VELAMAKANNI,
240,2022-12-30,1317078,38344420202.0,Extenship,US,Technical Onboarding Request - New Seller,Completed,2022-05-06,2022-05-06,NIVEDITHA PARVATHA,2021-09-07,3PD_integrator,2021-09-07,1,1,A2KJBDNYTBJT76,A2KJBDNYTBJT76NIVEDITHA PARVATHA,NIVEDITHA PARVATHA
241,2022-12-30,1123220,230456789612.0,Distrelec Deutschland GmbH,DE,Listing Creation;Technical Onboarding Request - New Seller,Completed,2021-10-21,2022-08-03,INDRA TATIKONDA,2021-12-13,DSR,2021-11-03,1,1,A27MKP2T747TTX,A27MKP2T747TTXINDRA TATIKONDA,
242,2022-12-30,1337728,136061973712.0,MrPackage,NL,Technical Onboarding Request - Reintegration,Completed,2022-07-15,2022-12-26,YASHWANT KOMATI,2022-08-01,DSR,2022-07-21,1,1,A3OQXH0MS63KO5,A3OQXH0MS63KO5YASHWANT KOMATI,
243,2022-12-30,1308907,9543275735.0,Kewayes,ES,Technical Onboarding Request - New Seller,Completed,2022-04-06,2022-06-23,NIVEDITHA PARVATHA,2022-04-11,DSR- SP-API Integration,2022-04-11,2,1,A3PF9ZHKXI6D4A,A3PF9ZHKXI6D4ANIVEDITHA PARVATHA,NIVEDITHA PARVATHA
245,2022-12-30,1360720,84964056612.0,FUTURITI,UK,Technical Onboarding Request - New Seller,Completed,2022-10-04,2022-10-26,LIPSA MOHANTY,2022-10-05,DSR_INTEGRATOR_PL,2022-10-04,1,1,A3PVLBH4IG73H5,A3PVLBH4IG73H5LIPSA MOHANTY,LIPSA MOHANTY
246,2022-12-30,1330686,301614692212.0,Multitools Group,NL,Technical Onboarding Request - New Seller,Completed,2022-06-20,2022-07-20,LIPSA MOHANTY,2022-06-21,DSR_INTEGRATOR_NL,2022-06-21,1,1,AEQA55QB36A9,AEQA55QB36A9LIPSA MOHANTY,
247,2022-12-30,1349020,87858985612.0,MyParcel,NL,Technical Onboarding Request - New Seller,Completed,2022-08-25,2022-12-09,PREMALATHA MADDIRALA,2022-07-11,3PD_INTEGRATOR,2022-08-11,1,1,A30TT07CMTODSQ,A30TT07CMTODSQPREMALATHA MADDIRALA,
248,2022-12-30,1266245,4805297722.0,BoutiqueRetailer,AU,Technical Onboarding Request - New Seller,Completed,2022-01-31,2022-02-23,YASHWANT KOMATI,2021-12-13,SMART_CONNECT_AU,2021-12-13,1,1,A19M3BMK3TQ0ZC,A19M3BMK3TQ0ZCYASHWANT KOMATI,YASHWANT KOMATI
249,2022-12-30,1371781,348245327212.0,Co-op,UK,Technical Onboarding Request - New Seller,Completed,2022-11-03,2022-11-22,LIPSA MOHANTY,2022-11-03,DSR,2022-11-03,1,1,A3KULWWLIZR2VF,A3KULWWLIZR2VFLIPSA MOHANTY,
250,2022-12-30,1141120,223718511812.0,XME Dindi - INTESA SANPAOLO,IT,Technical Onboarding Request - New Seller,Completed,2022-01-18,2022-05-11,DILIP CHAVALI,2021-12-28,SP_API_INTEGRATION,2022-01-24,1,1,AU5VOTHVIH270,AU5VOTHVIH270DILIP CHAVALI,DILIP CHAVALI
251,2022-12-30,1345271,4800815022.0,Gameology,AU,Technical Onboarding Request - New Seller,Completed,2022-08-12,2022-11-25,NIVEDITHA PARVATHA,2022-07-07,SMART_CONNECT_AU,2022-07-07,1,1,A6NW9AZEZ3R9X,A6NW9AZEZ3R9XNIVEDITHA PARVATHA,
253,2022-12-30,1339416,40593814212.0,ERGO Direkt AG,UK,Technical Onboarding Request - Reintegration,Completed,2022-07-22,2022-07-22,INDRA TATIKONDA,2022-05-12,Insurance_DE,2022-05-12,2,1,A23LFKWJ5HHDUU,A23LFKWJ5HHDUUINDRA TATIKONDA,INDRA TATIKONDA
254,2022-12-30,1312361,104088161912.0,SAM boards,DE,Technical Onboarding Request - Reintegration,Completed,2022-04-20,2022-11-01,NIVEDITHA PARVATHA,2022-04-27,DSR case,2022-04-22,1,1,A2QS9GWDTJQD2S,A2QS9GWDTJQD2SNIVEDITHA PARVATHA,
255,2022-12-30,1336906,8036795405.0,Beezup US Test,US,Technical Onboarding Request - New Seller,Completed,2022-07-12,2022-07-12,PRAKASH JHA,2022-07-12,3PD_Integrator_CID:A36R4UMUIG4ZJ6,2022-07-12,1,1,A36R4UMUIG4ZJ6,A36R4UMUIG4ZJ6PRAKASH JHA,PRAKASH JHA
256,2022-12-30,1340754,11911128825.0,synesty,DE,Technical Onboarding Request - New Seller,Completed,2022-07-27,2022-09-13,KEZIA IDIKKULA MUTHALALY,2022-07-27,3PD_INTEGRATOR,2022-09-30,1,1,A3AMKGIY9AE04O,A3AMKGIY9AE04OKEZIA IDIKKULA MUTHALALY,KEZIA IDIKKULA MUTHALALY
257,2022-12-30,1130560,129253646602.0,SIKSILK,UK,Technical Onboarding Request - New Seller,Completed,2021-11-25,2022-02-04,DILIP CHAVALI,2021-12-08,SP_API_INTEGRATION,2021-12-06,1,1,A9CQCX79JI3O3,A9CQCX79JI3O3DILIP CHAVALI,
258,2022-12-30,1097130,6795682.0,Reliant Direct,UK,Technical Onboarding Request - New Seller,Completed,2021-06-03,2022-05-16,FARAH BHAGAT,2021-01-04,SMART_CONNECT_EU,2021-06-08,1,1,A2CN43WDI0AWCL,A2CN43WDI0AWCLFARAH BHAGAT,
259,2022-12-30,1342968,666435462.0,w+h GmbH,DE,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-12-05,YASHWANT KOMATI,2022-10-31,3PD_Integrator,2022-10-31,1,1,A2AHK9LRNDOUN7,A2AHK9LRNDOUN7YASHWANT KOMATI,
260,2022-12-30,1358629,12876812415.0,FarApp,US,Technical Onboarding Request - New Seller,Completed,2022-09-27,2022-09-27,NIVEDITHA PARVATHA,2022-07-19,3PD case,2022-07-19,1,1,A2CWVSUPLWF07E,A2CWVSUPLWF07ENIVEDITHA PARVATHA,
261,2022-12-30,1271699,30222261512.0,Circunland,ES,Technical Onboarding Request - Reintegration,Completed,2022-02-09,2022-05-11,NIVEDITHA PARVATHA,2022-02-14,DSR case,2022-02-10,1,1,A3QMA0RZFI2QM6,A3QMA0RZFI2QM6NIVEDITHA PARVATHA,
262,2022-12-30,1304887,46661443522.0,Ledger,SG,Technical Onboarding Request - New Seller,Completed,2022-03-24,2022-07-19,INDRA TATIKONDA,2022-04-01,DSR,2022-03-25,1,1,A2VFPESTI9SCH1,A2VFPESTI9SCH1INDRA TATIKONDA,
263,2022-12-30,1117966,17323616612.0,GemschestEU,UK,Technical Onboarding Request - New Seller,Completed,2021-09-27,2022-05-20,DILIP CHAVALI,2021-09-27,"3PD_INTEGRATOR, CID: A1XEMYOCVN4TN8",2021-09-27,1,1,A1RYCXFNDZ3EAV,A1RYCXFNDZ3EAVDILIP CHAVALI,
264,2022-12-30,1342123,26188419012.0,SquareTrade Europe Limited,DE,Technical Onboarding Request - Reintegration,Completed,2022-08-01,2022-07-29,INDRA TATIKONDA,2022-04-26,"Insurance_DE,FR,ES,IT",2022-04-26,1,1,A13CUVHYRP9F3V,A13CUVHYRP9F3VINDRA TATIKONDA,INDRA TATIKONDA
265,2022-12-30,1139759,309921302.0,JTX Fitness,UK,Technical Onboarding Request - New Seller,Completed,2022-01-12,2022-09-09,FARAH BHAGAT,2022-06-22,DSR,2022-01-14,1,1,AE24UM0ME3L3B,AE24UM0ME3L3BFARAH BHAGAT,
266,2022-12-30,1100430,6678954222.0,Unleashed Software AU,AU,Technical Onboarding Request - New Seller,Completed,2021-06-20,2022-07-19,INDRA TATIKONDA,2021-07-21,DSR_INTEGRATOR,2021-06-21,1,1,A1KAUW4HOZCW83,A1KAUW4HOZCW83INDRA TATIKONDA,
267,2022-12-30,1266248,4024312422.0,OZSTOCK,AU,Technical Onboarding Request - New Seller,Completed,2022-01-31,2022-04-13,PRAKASH JHA,2021-12-19,SMART_CONNECT_AU,2022-01-19,1,1,AUE3UT8ERDGYF,AUE3UT8ERDGYFPRAKASH JHA,PRAKASH JHA
268,2022-12-30,1107078,52396770622.0,Watsons,,Technical Onboarding Request - New Seller,Completed,2021-07-27,2022-04-12,PRAKASH JHA,2021-10-04,F3_SG,2021-09-01,1,1,A26ZJDBFZ8LFWB,A26ZJDBFZ8LFWBPRAKASH JHA,
269,2022-12-30,1355370,227170289412.0,CURA of Sweden,UK,Technical Onboarding Request - New Seller,Completed,2022-09-15,2022-12-13,LAKSHMI PRATYUSHA VELAMAKANNI,2022-09-27,DSR,2022-09-15,1,1,ATJCOT1K69ZS6,ATJCOT1K69ZS6LAKSHMI PRATYUSHA VELAMAKANNI,
270,2022-12-30,1349661,314245657812.0,Online Productos Market,ES,Listing Creation + Upload;Technical Onboarding Request - New Seller,Completed,2022-08-26,2022-10-03,RAJARSHI CHATTERJEE,2022-09-07,DSR,2022-08-30,1,1,A10DOIOU3QMCLH,A10DOIOU3QMCLHRAJARSHI CHATTERJEE,
271,2022-12-30,1338107,41606212715.0,Marketphase,UK,Technical Onboarding Request - New Seller,Completed,2022-07-18,2022-11-10,KEZIA IDIKKULA MUTHALALY,2022-07-18,3PD_INTEGRATOR,2022-07-12,1,1,A2BBOSQSQLG5PU,A2BBOSQSQLG5PUKEZIA IDIKKULA MUTHALALY,
272,2022-12-30,1335857,314245657812.0,Online Productos Market,ES,Technical Onboarding Request - New Seller,Completed,2022-07-08,2022-08-04,LAKSHMI PRATYUSHA VELAMAKANNI,2022-07-11,DSR,2022-07-11,2,1,A10DOIOU3QMCLH,A10DOIOU3QMCLHLAKSHMI PRATYUSHA VELAMAKANNI,
273,2022-12-30,1304698,7076722025.0,Yahee365,DE,Technical Onboarding Request - New Seller,Completed,2022-03-23,2022-09-02,DILIP CHAVALI,2022-03-23,SMART_CONNECT_EU,2022-03-23,1,1,A2EE3XIT7D4VDH,A2EE3XIT7D4VDHDILIP CHAVALI,DILIP CHAVALI
274,2022-12-30,1323665,264179735812.0,Christopher Kane EU,UK,Technical Onboarding Request - New Seller,Completed,2022-05-26,2022-06-15,YASHWANT KOMATI,2022-05-27,BRAND_OWNER--MCID: A45WGWJYWNE5C,2022-05-27,1,1,A3QO5UC2203QP9,A3QO5UC2203QP9YASHWANT KOMATI,YASHWANT KOMATI
275,2022-12-30,1322516,285235968212.0,VIGANO' CALZATURE,IT,Technical Onboarding Request - New Seller,Completed,2022-05-23,2022-06-10,HARISH GANESAN,2022-05-25,DSR,2022-05-24,2,1,A2RD6F1WTGO3W,A2RD6F1WTGO3WHARISH GANESAN,HARISH GANESAN
276,2022-12-30,1375437,286164397912.0,ICECAT,NL,Technical Onboarding Request - New Seller,Completed,2022-11-16,2022-12-16,PRAKASH JHA,2022-12-10,DSR-SG,2022-11-16,1,1,A25EZMFAGMCJMN,A25EZMFAGMCJMNPRAKASH JHA,
277,2022-12-30,1309952,18507464212.0,FL Digital Markets,ES,Technical Onboarding Request - New Seller,Completed,2022-04-11,2022-07-28,INDRA TATIKONDA,2022-07-22,DSR,2022-04-15,1,1,A1AM89WFJ5KXNQ,A1AM89WFJ5KXNQINDRA TATIKONDA,INDRA TATIKONDA
278,2022-12-30,1323666,263242392912.0,Boglioli_EUR,UK,Technical Onboarding Request - New Seller,Completed,2022-05-26,2022-05-27,YASHWANT KOMATI,2022-06-10,BRAND_OWNER,2022-05-27,1,1,A2YXFJR7OLO0KI,A2YXFJR7OLO0KIYASHWANT KOMATI,YASHWANT KOMATI
279,2022-12-30,1358971,243490047612.0,ALZURA Connect DE,DE,Technical Onboarding Request - New Seller,Completed,2022-09-28,2022-03-31,YASHWANT KOMATI,2021-10-12,DSR_INTEGRATOR,2021-10-04,1,1,A3PGSRPIY7PPUO,A3PGSRPIY7PPUOYASHWANT KOMATI,YASHWANT KOMATI
280,2022-12-30,1340723,272765593212.0,X-Cite,SA,Technical Onboarding Request - New Seller,Completed,2022-07-27,2022-10-17,YASHWANT KOMATI,2022-07-07,DSR,2022-07-27,1,1,A33X07ILLE8VWE,A33X07ILLE8VWEYASHWANT KOMATI,
281,2022-12-30,1340000,237455238712.0,PUMA UK,UK,Technical Onboarding Request - New Seller,Completed,2022-07-25,2022-12-07,PREMALATHA MADDIRALA,2022-07-19,DSR,2022-07-25,1,1,AY83AIQ8M876Q,AY83AIQ8M876QPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
283,2022-12-30,1321851,263963866112.0,Paint Orange,UK,Technical Onboarding Request - New Seller,Completed,2022-05-20,2022-10-19,HARISH GANESAN,2022-05-25,DSR_Integrator,2022-05-20,1,1,A3PNJAV4CVI5V1,A3PNJAV4CVI5V1HARISH GANESAN,HARISH GANESAN
284,2022-12-30,1301756,33546459212.0,RevolutionRace,DE,Technical Onboarding Request - New Seller,Completed,2022-03-14,2022-06-20,PRAKASH JHA,2022-03-23,DSR_NL,2022-03-16,2,1,A3S6865PM5WZLC,A3S6865PM5WZLCPRAKASH JHA,
285,2022-12-30,1338778,13724119825.0,rawhealthfood,UK,Technical Onboarding Request - New Seller,Completed,2022-07-20,2022-12-01,DILIP CHAVALI,2022-07-20,3PD_INTEGRATOR CID: A38HCFJ0XGBDLC,2022-07-19,1,1,A2ARJ7D12PBLP5,A2ARJ7D12PBLP5DILIP CHAVALI,DILIP CHAVALI
286,2022-12-30,1342135,285060324112.0,-Speelgoedland.nl-,NL,Technical Onboarding Request - New Seller,Completed,2022-08-01,2022-12-07,PREMALATHA MADDIRALA,2022-08-04,DSR,2022-08-02,1,1,A16123Z3ASXHFN,A16123Z3ASXHFNPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
287,2022-12-30,1304883,58565413922.0,Mind Master,SG,Technical Onboarding Request - New Seller,Completed,2022-03-24,2022-07-22,INDRA TATIKONDA,2022-07-22,DSR_Integrator,2022-03-25,1,1,A1UWEA1NHHUBUB,A1UWEA1NHHUBUBINDRA TATIKONDA,
288,2022-12-30,1115621,6458851005.0,Marius Sprincenatu,IT,Technical Onboarding Request - New Seller,Completed,2021-09-13,2022-09-08,PREMALATHA MADDIRALA,2021-09-13,3PD_INTEGRATOR,2021-09-09,1,1,A1W0H4UL60TM30,A1W0H4UL60TM30PREMALATHA MADDIRALA,PREMALATHA MADDIRALA
289,2022-12-30,1372201,358938364312.0,SONNY BONO,IT,Technical Onboarding Request - New Seller,Completed,2022-11-04,2022-12-13,PRAKASH JHA,2022-11-07,Appstore Push - Magento,2022-11-07,1,1,A30WZHKUZ0XO0D,A30WZHKUZ0XO0DPRAKASH JHA,
290,2022-12-30,1339439,72594730912.0,Webinterpret,FR,Technical Onboarding Request - New Seller,Completed,2022-07-22,2022-07-18,INDRA TATIKONDA,2022-07-01,3PD_Integrator,2022-07-01,1,1,A2CZZHEFXCTLIN,A2CZZHEFXCTLININDRA TATIKONDA,
291,2022-12-30,1139686,369558114802.0,BOSKA,US,Technical Onboarding Request - New Seller,Completed,2022-01-12,2022-06-21,PRAKASH JHA,2022-01-20,DSR,2022-01-19,1,1,AOQ1J6BU3DK8U,AOQ1J6BU3DK8UPRAKASH JHA,
292,2022-12-30,1363407,294684875812.0,Perfume'sClub,ES,Technical Onboarding Request - New Seller,Completed,2022-10-13,2022-10-13,NIVEDITHA PARVATHA,2022-05-13,DSR case,2022-05-13,1,1,AHPHJM2BAOTLC,AHPHJM2BAOTLCNIVEDITHA PARVATHA,
294,2022-12-30,1320996,14524636322.0,Anchanto Australia Branch,AU,Technical Onboarding Request - Reintegration,Completed,2022-05-18,2022-12-22,PRAKASH JHA,2022-05-18,DSR_Integrator_SG,2022-05-18,1,1,AT4MDN2GW9V15,AT4MDN2GW9V15PRAKASH JHA,PRAKASH JHA
295,2022-12-30,1381711,235595432.0,deltrashopping,DE,Technical Onboarding Request - New Seller,Completed,2022-12-05,2022-11-20,YASHWANT KOMATI,2022-09-01,3PD_INTEGRATOR,2022-09-01,1,1,A128CR1SPKD8HO,A128CR1SPKD8HOYASHWANT KOMATI,YASHWANT KOMATI
296,2022-12-30,1327604,30663629812.0,SellYourApple,FR,Technical Onboarding Request - New Seller,Completed,2022-06-10,2022-09-28,RAJARSHI CHATTERJEE,2022-06-16,DSR,2022-06-13,1,1,A32HJ3JX90ANJG,A32HJ3JX90ANJGRAJARSHI CHATTERJEE,RAJARSHI CHATTERJEE
297,2022-12-30,1314228,279093802312.0,COLORIFICIO ON LINE,IT,Technical Onboarding Request - New Seller,Completed,2022-04-26,2022-08-22,PREMALATHA MADDIRALA,2022-05-03,DSR,2022-04-26,1,1,A12QPQ1JN344YE,A12QPQ1JN344YEPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
298,2022-12-30,1330711,276551906112.0,Atmosphera Casika,ES,Technical Onboarding Request - New Seller,Completed,2022-06-20,2022-11-14,KEZIA IDIKKULA MUTHALALY,2022-06-27,DSR,2022-06-22,1,1,A3FYZGVL9EYGGB,A3FYZGVL9EYGGBKEZIA IDIKKULA MUTHALALY,
299,2022-12-30,1117474,207524897612.0,Sumiko Stationery LLC,AE,Technical Onboarding Request - New Seller,Completed,2021-09-23,2022-02-10,DILIP CHAVALI,2021-09-27,DSR,2021-09-24,1,1,A247CRHNWWXVBD,A247CRHNWWXVBDDILIP CHAVALI,
300,2022-12-30,1136126,242924899812.0,The Crazy Home ITALY,IT,Technical Onboarding Request - Reintegration,Completed,2021-12-22,2022-02-25,DILIP CHAVALI,2022-02-02,DSR,2021-12-31,1,1,A2RICJ9G9YCIOP,A2RICJ9G9YCIOPDILIP CHAVALI,DILIP CHAVALI
301,2022-12-30,1338256,780414443.0,evendo,DE,Technical Onboarding Request - New Seller,Completed,2022-07-18,2022-12-05,LAKSHMI PRATYUSHA VELAMAKANNI,2022-08-02,3PD_INTEGRATOR,2022-07-12,1,1,A3B97HLI12Y93M,A3B97HLI12Y93MLAKSHMI PRATYUSHA VELAMAKANNI,LAKSHMI PRATYUSHA VELAMAKANNI
302,2022-12-30,1342115,295872073812.0,LuLu,AE,Technical Onboarding Request - New Seller,Completed,2022-08-01,2022-12-09,INDRA TATIKONDA,2022-08-01,F3_AE,2022-05-01,1,1,A255VJ51WOUTZK,A255VJ51WOUTZKINDRA TATIKONDA,
303,2022-12-30,1352478,70154994312.0,Officedeals,DE,Technical Onboarding Request - Reintegration,Completed,2022-09-05,2022-11-14,HARISH GANESAN,2022-09-07,DSR,2022-09-06,1,1,AZZK0D01J5S2V,AZZK0D01J5S2VHARISH GANESAN,
304,2022-12-30,1340725,14104803325.0,XentralERPSoftwareGmbH,DE,Technical Onboarding Request - New Seller,Completed,2022-07-27,2022-06-15,PRAKASH JHA,2022-01-24,3PD_Integrator,2022-07-27,1,1,A1U7A2UL529O4U,A1U7A2UL529O4UPRAKASH JHA,
305,2022-12-30,1381082,175501272912.0,Sopyo,TR,Technical Onboarding Request - New Seller,Completed,2022-12-01,2022-12-14,LIPSA MOHANTY,2022-12-02,TR Unmanaged_Developers,2022-12-02,1,1,A34VNT6X9Y87HP,A34VNT6X9Y87HPLIPSA MOHANTY,
306,2022-12-30,1330552,280355425112.0,MEUBLES MACABANE,FR,Technical Onboarding Request - New Seller,Completed,2022-06-20,2022-07-25,RAJARSHI CHATTERJEE,2022-07-01,DSR,2022-06-21,1,1,A35X16M98YG8D2,A35X16M98YG8D2RAJARSHI CHATTERJEE,
